Article,Year,Month,Day,Headline,Content
339,2021,4,2,Colts Present Their 2021 Production — LEAP OF FAITH,"<div class=""row""><div class=""col-xs-12""><div class=""ratio ratio-16x9 mb-3""> <iframe class=""embed-responsive-item"" src=""https://www.youtube.com/embed/Gq7hk_EALNQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen ></iframe></div><p> The Colts are excited to introduce their 2021 production aptly titled, ""LEAP OF FAITH."" The program includes music by Stevie Wonder & Ariana Grande, ABBA, Paul Williams & Kenneth Ascher, and George Michael.</p><p>The Colts are planning 10 performances this summer including the season-ending DCI Celebration in Indianapolis on August 12�14, 2021.</p><p> If you�re 16�22 (or 23 after June 1) and interested in marching with us this summer, take a leap of faith and audition today. You can <a href=""/inforequest"">send an Information Request</a>, or go all in and <a href=""/program-red-zone-application"">enroll in the Red Zone</a> � our offseason audition program! Learn more about how to get started in the Red Zone <a href=""/program-red-zone"">HERE</a>. It�s not too late to jump in! We still have openings in many sections.</p></div></div><div class=""row""><div class=""col-md-6""><h2>Facebook Cover Photo</h2> <img src=""/img/news/leap-of-faith-facebook-cover.png"" class=""w-100"" style=""margin-bottom: 1rem"" /> <a href=""/img/news/leap-of-faith-facebook-cover.png"" class=""btn btn-danger btn-block"" role=""button"" download>Download</a></div><div class=""col-md-6""><h2>Twitter Cover Photo</h2> <img src=""/img/news/leap-of-faith-twitter-cover.png"" class=""w-100"" style=""margin-bottom: 1rem"" /> <a href=""/img/news/leap-of-faith-twitter-cover.png"" class=""btn btn-danger btn-block"" role=""button"" download>Download</a></div></div><div class=""row""><div class=""col-md-3""><h2>Phone Background</h2> <img src=""/img/news/leap-of-faith-phone-background.png"" class=""w-100"" style=""margin-bottom: 1rem"" /> <a href=""/img/news/leap-of-faith-phone-background.png"" class=""btn btn-danger btn-block"" role=""button"" download>Download</a></div><div class=""col-md-9""><h2>Desktop Background</h2> <img src=""/img/news/leap-of-faith-desktop-background.png"" class=""w-100"" style=""margin-bottom: 1rem"" /> <a href=""/img/news/leap-of-faith-desktop-background.png"" class=""btn btn-danger btn-block"" role=""button"" download>Download</a></div></div>"
338,2021,3,31,Colt Cadets Set Preseason Schedule,"<div class=""row""><div class=""col-xs-12""><p> The Colt Cadets are off to a fantastic start for the 2021 drum corps season! Any interested student age 12-19, with or without experience, can find a home in Colt Cadets without the stress of an audition. Interested students are encouraged to sign up for the Red Zone where they will receive one-on-one lessons with the staff as well as our monthly Zoom sectionals for preseason preparation. The Red Zone is $110. <a href=""/program-red-zone-about"">Enroll today!</a> Come experience drum corps and see if the Colt Cadets is the place for <em>you!</em></p><p> Not sure if World Class or Open Class is the best fit for you? Our corps work together in the Red Zone to help you identify the best fit for you.</p><p> With in-person events unlikely, our goal is to have each member of the corps move in as prepared as possible and ready to learn the drill. The Colt Cadets preseason preparation involves a monthly Zoom sectional and a series of assignments to ensure preparation for the summer season culminating at the Drum Corps International events and celebration in Indianapolis.</p><p> The Colt Cadets� spring Zoom sectional rehearsals will be held on Sundays: April 25, May 23, and June 27 with sectional timelines detailed below. Additionally, students are asked to schedule at least two additional private lessons for $25 each. Always check colts.org for the most up-to-date information on rehearsals.</p><ul style=""text-align: center; list-style: none""><li><b>2021 SUNDAY VIRTUAL REHEARSAL SECTIONAL SCHEDULE (all times are Central Daylight Time):</b></li><li> <b><i>Sundays: April 25 May 23 June 27</i></b></li><li>11 AM � Battery</li><li>Noon � Visual for Battery and Brass</li><li>1 PM � Brass</li><li>2 PM � Front Ensemble</li><li>3 PM � Guard</li></ul><p> Membership in the Colt Cadets is open to any young person in middle school or high school, with or without prior performance experience. There is no formal audition to be a member, but students are expected to be strong team players with a desire to be great! These rehearsals are approached as clinics, so any student can explore drum corps membership without the full commitment.</p><p> All instruments, uniforms, and instruction are provided. During the summer, the Colt Cadets will perform 10 times between late-July and mid-August. In 2021, Colt Cadets will again finish the season at Lucas Oil Stadium in Indianapolis (home of the NFL Colts), at the Drum Corps International Celebration. Summer fees will be $1400 for July 5 through August 15. Students are asked to allow for a 7-day quarantine prior to arrival and to show a negative COVID test within 72 hours prior to arrival. All summer participants (members, volunteers, and staff) are expected to demonstrate a vaccination record including the COVID vaccine, if eligible.</p><p> Looking for more information on the Colt Cadets? Email Colt Cadets Director Rich Waddington, <a href=""mailto:rich@colts.org"">rich@colts.org</a>.</p></div></div>"
337,2021,3,31,Colts Release Preseason Preparation Details,"<div class=""row""><div class=""col-xs-12""><p> <strong >The Red Zone is still open for new auditions! The Colts currently have positions available in most sections of the corps. Learn more, sign up, and engage in our <a href=""/program-red-zone"">Red Zone audition process here.</a></strong ></p><p> <strong >For members and others engaged in the Red Zone, the Colts preseason preparation involves a monthly Zoom sectional, subsection work, weekly physical fitness guidance, and a series of assignments to ensure preparation for our summer season.</strong > With in-person events unlikely, our goal is to have each member of the corps move in as prepared as possible and ready to learn drill.</p><ul style=""text-align: center; list-style: none""><li><b>ZOOM BRASS SECTIONALS</b></li><li><i>Noon�2 PM Central Time</i></li><li>Saturday, April 3 � Introduce Act 3 Music, Visual Basics on the Move</li><li>Sunday, May 2 � Introduce Act 4 Music, Visual for Acts 1 & 2</li><li>Sunday, June 6 � Drill & Production Preparation, Visual for Acts 3 & 4</li></ul><ul style=""text-align: center; list-style: none""><li><b>ZOOM PERCUSSION SECTIONALS</b></li><li><i>3 PM�5 PM Central Time</i></li><li>Sunday, April 11 � Introduce Act 2, Visual Basics on the Move</li><li>Sunday, May 2 � Introduce Act 3, Visual for Acts 1 & 2</li><li>Sunday, June 6 � Introduce Act 4, Visual for Acts 3 & 4</li></ul><ul style=""text-align: center; list-style: none""><li><b>ZOOM GUARD SECTIONALS</b></li><li><i>6 PM�8 PM Central Time</i></li><li>Sunday, April 11 � Introduce Basics (Warmups and Routines)</li><li>Sunday, May 2 � Introduce Act 1 & 2</li><li>Sunday, June 6 � Introduce Act 3 & 4</li></ul><h2>Business Details</h2><p> The cost of preseason preparation is $40 per act ($160 total). This amount is added to contracted student accounts and can be paid monthly or in full. We are optimistic about our summer plans! Individuals who join later than any of the due dates presented will still be responsible for the information presented via Zoom and should catch up on assignments as quickly as possible. New members will still be able to receive four lessons, just scheduled in a more compressed timeline.</p><p> In preparation for the summer season, interested Colts should ensure availability July 1 through August 15. Member fees for the Colts summer tour will be $2600. Students are asked to allow for a 7-day quarantine prior to arrival and asked to show a negative COVID test within 72 hours prior to arrival. All summer participants (members, volunteers, and staff) are expected to demonstrate a vaccination record including the COVID vaccine.</p><p> The Colts and Colt Cadets will participate in six Midwest Combine events, plus one event leading into the Drum Corps International event and celebration in Indianapolis August 12-14. Both corps will perform all three days in Indianapolis. Any questions can be directed to Colts Director Vicki MacFarlane, <a href=""mailto:vicki@colts.org"">vicki@colts.org</a>.</p></div></div>"
336,2021,3,31,Honoring Beth Miller For Women's History Month,"<div class=""row""><div class=""col-xs-12""> <img src=""/img/news/beth_miller.jpg"" height="""" width=""300px"" alt=""Beth Miller"" class=""float-start imageborder me-2"" /><p> We cannot think of a better way to conclude Women's History Month than to pay tribute to a great one. Beth Miller was both legend and legendary. She was ""all in"" when her daughter, Jolene, joined the Colt .45 Cadets color guard in 1967. Jolene, herself, became a Colts legend earning the nickname ""Trigger"" as color guard sergeant of the Colts championship winter guard in the mid-1970s.</p><p> Our earliest listing of board members shows Beth served as Booster Club Board President in 1974�1975. She also served as finance chair for the Corporate Board. She joined the Colts Corporate Board of Directors in 1976, continuing as finance chair, and in 1978 served her first year as the Corporate Board President � a role she would accept again from 1989�1991. She was a fixture on the board until her passing just two weeks after <i>Music On The March</i> in 2009.</p><p> ""Mom got involved two minutes after Bob Buelow let me in at 10 years old,"" said Colts Hall-of-Famer Jolene Miller O'Toole. ""She lobbied in Des Moines for bingo games and got many people to contribute to the corps. [It] made me stand back and go, 'Wow, what an amazing woman!'"" Beth preceded her daughter as the first woman selected into the Colts Hall of Fame in 1994.</p><p> Beth did not just occupy a board seat. She used her skills as a telephone company sales representative to secure advertising in the <i>Music On The March</i> program booklet. She got so much support from the business community that the booklet eventually topped out at 96 pages. The annual revenue Beth generated for <i>Music On The March</i> ensured the financial success of the event � rain or shine.</p><p> In November 1985, Bob Buelow and Board President Rich Theobald proclaimed, ""In recognition of her many years of service, energy and positive thinking, her strength of character, her guiding hand, her zeal and tireless labor, her morals and morale, and her resourcefulness and tenacity, we the members and boosters of the Colts proclaim Beth Miller 'Godmother of the Colts.'""</p><p> Former Board President (1999-2002) John Woodin shared this life lesson. ""I now have stronger toes because of Beth Miller. I spent some years as president of the Colts Board of Directors while Beth held board positions. My toes are stronger because Beth kept me on [them] during each of those years. Beth was dedicated to what the Colts are all about and was tireless in her efforts for the participants. Because of Beth's dedication to the organization, we are stronger, we are focused, and we are all on our toes.""</p><p>Former Board Member Glenn Baughman writes, ""Beth's legacy to the Colts is unique and without peer.""</p><p> And another former Board Member Rod Bakke maybe sums it up best: ""People may forget what you did. People may forget what you said. But people will never forget how you made them feel. Beth Miller made you feel good.""</p><p> We love you, Beth! We are here because of your dedication, determination and perseverance. And we hope your inspiration continues to drive the soul of our organization. On this last day of Women's History Month 2021, we salute the one and only Beth Miller.</p></div></div>"
335,2021,3,31,"Colts Plan For 2021 Midwest Combine"" Events""","<div class=""row""><div class=""col-xs-12""> <img src=""/img/news/midwest_combine_2021.jpg"" height="""" width=""300px"" alt=""Midwest Combine graphic"" class=""float-start imageborder me-3"" /><p> A newly formed alliance of Midwest-based drum and bugle corps is currently planning to host a series of six performances in late July and early August, leading up to the Drum Corps International Summer Celebration event in Indianapolis from August 12�14 in Lucas Oil Stadium. The groups included are the Blue Stars (La Crosse, WI), The Cavaliers (Rosemont, IL), Colts (Dubuque, IA), Madison Scouts (Madison, WI), and Phantom Regiment (Rockford, IL).</p><p> Honoring the 50th Anniversary of the original ""Combine,"" these five groups will each host an event near their hometown along with a sixth conclusionary event. The original ""Combine"" was operational in 1971 and helped lay the groundwork for the formation of Drum Corps International in 1972.</p><p> ""We are excited to restart the drum corps activity in the Midwest,"" said Chris Komnick, Executive Director of the Madison Scouts. ""Developing this series of events give us an opportunity to perform for our communities while providing our members additional performances leading into Indianapolis.""</p><p> ""Foremost, our attention will be on safety,"" said Brad Furlano, Executive Director of the Blue Stars. ""Assuming health conditions allow, we feel we can run these events in a way that safely enables our participants to perform and our audience to enjoy the return of the drum corps activity.""</p><p> Each corps will host an event in or near its hometown with shows being planned for La Crosse, Chicago-area, Dubuque, Madison, and Rockford. A sixth and final event will be held in a central Midwest location. The events will be held on the weekends of July 30�August 1 and August 6�8. The specific combination of dates and locations will be announced later this spring.</p><p> ""The loss of the 2020 competitive season due to COVID-19 created financial challenges for all the drum corps,"" said Monte Mast, Executive Director of The Cavaliers. ""The Midwest Combine series of events will enable us to raise money for our organizations while re-engaging our fans.""</p><p> The Midwest Combine series of events will be run in coordination with Drum Corps International and will help to add to the excitement surrounding the return of the drum corps activity in 2021.</p></div></div><div class=""row""><div class=""col-md-6""><h2>Get your limited-edition t-shirt!</h2><p> Celebrate the return of the Midwest Combine with this limited-edition t-shirt! Pre-orders are currently being taken, so place your order now to ensure receiving yours before summer! This soft t-shirt is made using 100% preshrunk ringspun cotton, providing a breathable and stylish alternative to your basic tee.</p><p> <a href=""https://store.colts.org/products/midwest-combine-2021-t-shirt"" target=""_blank"" rel=""noopener"">Click here to learn more,</a> or use the checkout button below to get yours today!</p><div id=""product-component-1617296714174""></div> <script type=""text/javascript"">(function(){var scriptURL=""https://sdks.shopifycdn.com/buy-button/latest/buy-button-storefront.min.js"";if(window.ShopifyBuy){if(window.ShopifyBuy.UI){ShopifyBuyInit();}else{loadScript();}}else{loadScript();} function loadScript(){var script=document.createElement(""script"");script.async=true;script.src=scriptURL;(document.getElementsByTagName(""head"")[0]||document.getElementsByTagName(""body"")[0]).appendChild(script);script.onload=ShopifyBuyInit;} function ShopifyBuyInit(){var client=ShopifyBuy.buildClient({domain:""colts-mall.myshopify.com"",storefrontAccessToken:""aea9d03e4728e031d98150ed83e1ae39""});ShopifyBuy.UI.onReady(client).then(function(ui){ui.createComponent(""product"",{id:""6621014884537"",node:document.getElementById(""product-component-1617296714174""),moneyFormat:""%24%7B%7Bamount%7D%7D"",options:{product:{styles:{product:{""@media (min-width: 601px)"":{""max-width"":""calc(25% - 20px)"",""margin-left"":""20px"",""margin-bottom"":""50px""}},},buttonDestination:""checkout"",text:{button:""Buy now""},},productSet:{styles:{products:{""@media (min-width: 601px)"":{""margin-left"":""-20px""}}}},modalProduct:{contents:{img:false,imgWithCarousel:true,button:false,buttonWithQuantity:true},styles:{product:{""@media (min-width: 601px)"":{""max-width"":""100%"",""margin-left"":""0px"",""margin-bottom"":""0px""}}},text:{button:""Add to cart""},},option:{},cart:{text:{total:""Subtotal"",button:""Checkout""}},toggle:{},},});});}})();</script> </div><div class=""col-md-6""></div></div>"
334,2021,3,6,"Colts Brass Sectional Set For Sunday, March 7","<div class=""row""><div class=""col-xs-12""><center><img class=""img-fluid"" alt=""Brass Sectional; Sunday, March 7 at Noon CST"" src=""/img/news/BrassSectional_March21_Full.jpg"" /></center> <br /><p> The Colts brass staff will lead a sectional meeting via Zoom on Sunday, March 7 from Noon�2 p.m. CST. This month�s sectional will include the introduction of Act 2 of our 2021 production. The staff will also discuss performance techniques they want students to work on, plus some instruction from the visual team related to marching and fitness. All sectional Zoom meetings will be recorded and are available to students enrolled in the Red Zone in case you have a conflict.</p><p> The Red Zone is still open for new auditions! The Colts currently have positions available in all sections of the corps. The information provided at the monthly sectional meetings is specific for individuals who hope to participate in the 2021 Colts summer season. With in-person camps unlikely, our goal is to have every member of the brass line move into tour with their music memorized and ready to learn drill.</p><p>Sectional meetings for percussion and color guard will be announced soon.</p><p> Are you interested in marching this summer but don�t know where to start? Fill out an <a href=""/inforequest"" target=""_blank"">Information Request HERE</a>. The Colts and Colt Cadets are both anticipating a great summer of drum corps, and you can be part of it! Your best friends are here; you just haven�t met them yet. Join the RED TEAM and see why Iowa is the place where dreams come true!</p></div></div>"
333,2021,2,18,Colt Cadets Kick Off 2021 Preseason,"<div class=""row""><div class=""col-xs-12""><p>The Colt Cadets held an introductory Zoom session on Sunday, February 14 to lay the groundwork for the 2021 preseason and tour. Rich Waddington, Colt Cadets director, said he's excited for what's to come.</p>  <p>""We had a great turnout, and there's a lot of enthusiasm going around,"" Waddington said. ""You can tell people want to get back to making music together.""</p>  <p>Currently, the Colt Cadets plan to begin the in-person portion of their season around July 1, pending COVID guidelines and regulations. They will then put their production on the field before taking it on the road. The Colt Cadets have three performances scheduled for Lucas Oil Stadium from August 12–14, and they are looking to add more shows to that schedule prior to Indianapolis.</p>  <p>Between now and July 1, the Colt Cadets plan to work through their preseason virtually. All students involved will have the opportunity to work one-on-one with instructors directly, and the corps will come together monthly to check in and build on that progress as a group.</p>  <p>Students will begin learning show music in March, which will allow the corps to learn most of the show prior to move-ins.</p>  <p>""We've got a great production this year, and we're excited to share it with our members,"" Waddington said. ""And, by putting together the musical aspects throughout the spring, we'll be in a great spot to learn the visual aspects in July.""</p>  <p>All sections have openings, and all interested students are invited to join! There is no experience required, and the inclusion of individual lessons this year makes it the perfect time to start your drum corps journey.</p>  <p>For more information, and to get involved, <a href=""/inforequest"" target=""_blank"">express interest here</a> or email Rich Waddington at <a href=""mailto:rich@colts.org"">rich@colts.org</a>!</p>  </div>  </div>"
332,2021,2,16,"DEI at forefront: Local arts, cultural organizations get to work","<div class=""row""><div class=""col-xs-12""><p><i>By Michelle London, Telegraph Herald; February 16, 2021</i></p>  <p>Diversity. Equity. Inclusion.</p>  <p>Three words. Lots of definitions.</p>  <p>Many are hearing these words a lot more lately. But what exactly do they mean?</p>  <p>Diversity is the representation of many different identities — ethnicity, race, religion, gender or sexual orientation among them.</p>  <p>Equity is the equal and fair treatment of all those group, ensuring equal opportunity and access to resources for everyone.</p>  <p>Inclusion is inviting everyone to participate and contribute, creating a culture of belonging rather than exclusion.</p>  <p>DEI first rose in the 1970s and 1980s to address the inequity of gender in the workplace. In the 1990s, organizations expanded their scope to include other groups, as well.</p>  <p>In 2020, the subject of DEI became a topic of discussion at the forefront with the deaths of George Floyd, Breonna Taylor, Elijah McClain and other Blacks at the hands of law enforcement, with the lingering question of why Blacks are killed by police officers at a rate three times higher than Whites.</p>  <p>Politics aside, the discussion has made many groups, including arts and culture organizations in the tri-states, take a deeper look. Many unwritten policies are being crafted into DEI statements, and group and board members are collaborating to bring about change.</p>  <h2>Putting it in writing</h2>  <p>The City of Dubuque has made DEI a strong part of its mission through its Arts and Cultural Affairs Commission, according to Nick Halder, who serves on that commission.</p>  <p>“We’re trying to figure out what that looks like going forward,” he said.</p>  <p>Halder also is the producing artistic director of Rising Star Theatre Company in Dubuque and is the theater director-in-residence at Clarke University.</p>  <p>Halder said Rising Star is open to all who want to audition. Since implementing a youth program in 2010, anyone from ages 8 to 18 who audition is cast.</p>  <p>“We’ve historically tried to make sure that anyone who wants to participate can,” he said. “That’s hasn’t changed. But we’re more mindful about creating opportunities that will reach out to underserved populations.”</p>  <p>Halder said there are more inroads to be made.</p>  <p>“All organizations in Dubuque are doing their best to push forward those efforts to offer programming that is diverse and inclusive,” he said. “We’re trying to be more intentional than we’ve been in the past. We want to be sure we’ve giving people what they need and what they want as opposed to telling them what they need and what they want.”</p>  <p>COVID-19 has caused many arts and culture groups to not only reassess their formerly unwritten policies or to create new statements of purpose but also to move toward tangible activities.</p>  <p>“We’ve taken this pandemic time to reflect as an organization,” Halder said. “We’re saying, ‘OK, we’ve adopted this language, so how do we put it into action?’”</p>  <p>Halder also emphasized the need for more diversity among arts organization leaders.</p>  <p>“A lot of the leaders of the arts organizations in Dubuque are White,” he said. “We want to be sure that other people, in the Black community and others, have a seat at the table. This will help infuse more energy into these organizations long-term.”</p>  <h2>Task groups and committees</h2>  <p>DEAI (including accessibility as part of the acronym) is a topic of concern for area arts organizations. While most people think of physical accessibility when they hear the word, it can often refer to social, economic and educational accessibility as well.</p>  <p>The National Mississippi River Museum &amp; Aquarium and the Dubuque Symphony Orchestra both have formed working groups, comprised of staff, board and community members and, in the case of DSO, musicians.</p>  <p>“We decided as an organization that DEAI needs to be a part of our fabric,” said Erin Dragotto, vice president of development at the museum. “We started with what’s embedded into our strategic plan, our values, our mission. That includes inclusivity, but of course, we said that’s not enough. We needed to open up our eyes as to how we’re being seen.”</p>  <p>An internal working group has begun the process of creating a DEAI plan.</p>  <p>“We have about 12 to 15 people in any given meeting, and we just started talking,” Dragotto said. “We’re working up a program that serves our staff, our visitors and our community.”</p>  <p>Wendy Scardino, the museum’s director of marketing and communications, said the Dubuque County Historical Society, which is housed at the museum, have taken DEAI steps as well.</p>  <p>“They are working hard to highlight equity within their exhibits,” Scardino said. “It’s not just about suffrage or about baseball in Dubuque. There’s a lot more that comes to mind. They’ve been intentional in telling other stories through those exhibits.”</p>  <p>Scardino said a grant application has been made through the Institute for Museum and Library services to support the hiring of a DEAI coordinator. They’ll know the results of that application later this year.</p>  <p>“The coordinator would help bridge those partnerships in a more equitable way, and work within our own staff to become more equitable,” she said.</p>  <p>One thing the group is working on is a SWOT analysis — gauging the organization’s strengths, weaknesses, opportunities and threats.</p>  <p>“We’re acting consciously,” Dragotto said. “This is a 21st century issue that is never going to go away, thankfully. And I mean that in a good way. There’s a lot of things to do. We have an end goal, but we don’t have a linear approach just yet. It’s really a work in progress.”</p>  <p>At the DSO, Executive Director Mark Wahlert is working on the symphony’s DEI statement with a task force of about a dozen members that was formed last fall.</p>  <p>“One of the things that we’re very proud of in the symphony from an artistic standpoint is that we’ve done a really good job of bringing artists in from around the world and different backgrounds, but we’ve never had anything formal,” he said.</p>  <p>Wahlert admitted it will be a difficult task.</p>  <p>“It’s a challenge in Dubuque when you have something like 88% White,” he said. “The concept of DEI has come to the forefront for us in the last year or so, not only artistically, but what we can do to reach a broader audience.”</p>  <p>The symphony has developed rock concerts and country concerts as part of its annual offerings and has invited hip-hop artists to perform.</p>  <p>But Wahlert said they plan to do more.</p>  <p>“Race is at the top of the list, but we’re looking at LGBTQ composers and artists, women artists, different age groups,” he said. “We’re looking at a broad spectrum of things as far as diversity and looking at what we’ve been doing well and where we need improvement.”</p>  <p>Those discussions will lead to action plans and a DEI policy that he hopes will result in positive outcomes.</p>  <p>“Right now, it’s just self-analysis,” he said. “If people don’t feel welcome or don’t have the means, those are the things we hope to counteract. We want to target those people who need us the most.”</p>  <h2>Young adults have their say</h2>  <p>The <strong>Dubuque Colts Drum &amp; Bugle Corps</strong> also is working to craft its DEI statement.</p>  <p>“We haven’t had a formal policy prior to this year,” said Executive Director Jeff MacFarlane. “We’ve always been an open organization. That said, we felt it was time to formalize what has always been an unwritten policy.”</p>  <p>Vicki MacFarlane, director of the organization’s youth programs and drum and bugle corps, said the group always has had a strong LGBTQ representation. The group is audition-based, and because of the competitive nature of drum and bugle corps nationally, draws from a wide demographic.</p>  <p>“We are probably a little more diverse than Dubuque or Iowa,” she said. “In a normal year, we have 500 students audition for 154 spots. Last year, we had students audition who came from 28 states and four countries.”</p>  <p>As far as accessibility, board member Michelle McKnelly said socio-economics is a major factor.</p>  <p>“There’s this real urban/rural divide, where students who live in rural areas don’t have the access to the kind of music education that students who live in urban or suburban areas do,” she said. “There’s also the divide of economics. Many of our people who are interested or talented enough don’t have the means to travel to Dubuque, which is not a cheap place to get to. There are also fees involved. These are a few of the accessibility issues we also want to address.”</p>  <p>McKnelly met with a group of 15 young adult corps members identified as student leaders to get their input on the statement and “laundry list” of tasks that the board had created.</p>  <p>“We’ve had a series of very lengthy discussions,” she said. “COVID has changed many things, and we’re at a unique time culturally. That opens up a lot of opportunities to talk about things that we might not necessarily have talked about before.”</p>  <p>McKnelly said the group had a lot to say.</p>  <p>“They were fine with the statement,” she said. “But the action plan was really where we got a lot of fabulous input, and it really did shift our thinking on a lot of those things.”</p>  <p>Reagan Scherpe, a junior at Illinois State University, is a Galesburg, Ill., native. She has been a member of the Colts organization since 2014.</p>  <p>Scherpe wasn’t at all shy about offering her thoughts when asked to participate in the DEI analysis.</p>  <p>“I talk about these issues with my friends all the time,” she said. “I’m trying to understand. So I enjoyed that we were included.”</p>  <p>Scherpe added that including the students in the process probably gave the board some insight into the inner workings of the corps that they might not have had otherwise.</p>  <p>“We’re the ones on the field and we’re the ones who see what’s going on, especially in regards to culture and gender,” she said. “I don’t know the everyday experience of a Black person or anyone who’s different from me. So I can’t speak for them. But I can speak with them.”</p>  <p>You can view this article <a href=""https://www.telegraphherald.com/news/features/article_4a131180-0966-5cd5-9a0b-9fd882a20bb5.html"" target=""_blank"">on the Telegraph Herald's website</a>.    </div>  </div>"
331,2021,2,4,Colts Summer Plans Come Into View,"<div class=""row""><div class=""col-xs-12""><div class=""row""><div class=""col-md-12""><center><img src=""/img/news/2021_Schedule_Graphic.jpg""  alt=""Offseason education & show prep: 2/1 - 6/30; Summer (otherwise known as spring) training: 7/1 - 7/22; Regional performances and rehearsal: 7/23 - 8/10; A DCI celebration in Indianpolis: 8/11 - 8/14"" class=""imageborder""></center></div></div><p>Following the DCI Annual Meetings in late January, the Colts preseason and summer dates are beginning to take shape. As with everything in our pandemic-driven world, plans may change with new COVID-19 developments but <strong>we wanted to share this schedule — as we know it today — to help you plan your summer.</strong></p>    <p>Auditions are continuing, and many members of the Colts have locked in their positions. With that said, there are still openings in all sections of the drum corps. You can start your journey toward Colts or Colt Cadets membership with <a href=""/redzone"">a trip to the RED ZONE!</a></p>    <p>For RED ZONE participants, the Colts instructional team plans to roll out music for Act 1 of our 2021 production in the coming days. <strong>Colts Program Coordinator Don Click will be introducing the 2021 show theme</strong> via Zoom for students in the RED ZONE. We’ll also talk through our offseason preparation plans. Just because we can't be in the same place this spring doesn’t mean we can’t have some fun putting the show together…apart.</p>   <p>As of today, we plan to move into our summer “bubble” on July 1 following protocols established by DCI’s Tour Restart Task Force. <a href=""/2020_330"">The season will conclude in Indianapolis on August 14.</a> We are working diligently to arrange some events in the Midwest prior to Indy, and we are excited by the possibility of drum corps returning for our hometown fans in 2021! Details will be announced as they are finalized.</p>   </div>  </div>"
330,2020,12,3,Colts And Colt Cadets Prepare For 2021 Drum Corps Season,"<div class=""row""><div class=""col-xs-12""><img src=""/img/news/dci_2021.jpg"" height="""" width=""260px"" alt=""DCI logo over aerial shot of Lucas Oil Stadium"" class=""alignleft imageborder""><p>The Colts are excited to confirm their return to Lucas Oil Stadium in 2021! Following Drum Corps International’s announcement of Indianapolis events in August 2021, <strong>the Colts and Colt Cadets will continue their plans to keep the drum corps light burning bright for our students, volunteers and fans.</strong> The Colts design team has been in regular communication since the 2020 season was canceled in March. Concepts for a 2021 production have begun to solidify at the same time discussions and planning have taken place among DCI World Class corps directors regarding the summer tour and considerations involving the pandemic.</p>    <p>In addition to the announced DCI events, <strong>we anticipate a number of performance opportunities in the Midwest leading up to Indianapolis.</strong> As you might expect, so much of our summer planning revolves around the pandemic and eventual vaccine distribution, but we would love nothing more than to bring drum corps back to our Dubuque fans in 2021.</p>    <p>The Colts launched the RED ZONE in October as a virtual vehicle to deliver their offseason training, evaluation, and audition program. <strong>If you are interested in becoming a member of the 2021 Colts Drum &amp; Bugle Corps, join the RED ZONE</strong> at <a href=""/program-red-zone"">colts.org/redzone</a>. We do not anticipate in-person rehearsal events for the foreseeable future, so all auditions, and preparations for the 2021 production, will continue virtually.</p>   <p>Colt Cadets are also using the RED ZONE to identify and prepare students interested in their 2021 season. <strong>The virtual training program includes an Open Class track for students looking for increased focus on drum corps fundamentals.</strong> Their membership includes many students in our local area — some learning their instrument for the first time — as well as those who auditioned for Colts but may need an additional year of training to earn their spot in the World Class corps. Students interested in Colt Cadets should consider joining the RED ZONE or submit an <strong>Information Request</strong> at <a href=""/inforequest"">colts.org/inforequest</a>.</p>   <p>We said for months that we would be back — with an intent to emerge from the pandemic stronger than ever. We can now state with confidence that both are true. <strong>To our supporters, thank you so much for believing in our future</strong> and what the drum experience means for so many young people — not just today but throughout our 57-year history.</p>  </div>  </div>"
